P,D,Q,Fold number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
4,0,5,0,0.313235013788294,120.48666150370595,0.09811617386295311,0.033939227000644,0.006981184428700785,0.6144892614345752,13467.836391792749,13518.96781287982
4,0,5,1,0.029421054576081237,1.0629548995088258,0.00086559845236875,0.01206001564206273,0.002310878462216042,0.9965989552432011,13469.845365605166,13526.089928800944
4,0,5,2,0.18688572154637673,42.889463143193296,0.03492627291790994,0.019765811692250525,0.003894451684853583,0.7945054147140482,13733.092160906252,13784.223581993323
4,1,5,0,0.143298814424829,25.216427664709617,0.02053455021556157,0.016407947791944794,0.0029872126744278586,0.807168421614596,14094.756622989202,14145.888044076273
4,1,5,1,0.13185934403143146,21.351096755114458,0.017386886608399356,0.014865304371931327,0.0028410027674336175,0.8977013361430062,13733.108632995827,13784.240054082898
4,1,5,2,0.14334317237856453,25.232041502952463,0.02054726506755084,0.017175113369884157,0.003444617209342771,0.9192672215005524,13467.842533503555,13518.973954590627
4,2,5,0,0.2031577915514342,50.68335239317276,0.04127308826805597,0.021672697744212113,0.004033105207677452,0.612421276725214,14094.736880313247,14145.868301400318
4,2,5,1,0.2453764203571824,73.93737365545014,0.06020958766730484,0.025299597990004957,0.0050254843219828885,0.6457467913335146,13733.089873985562,13784.221295072633
4,2,5,2,0.23878493078032392,70.0184026100143,0.05701824316776392,0.025430505511539185,0.005213908869750771,0.7759681796600577,13467.837122748537,13518.968543835608
4,3,5,0,0.1819103466644119,40.636207546539666,0.033091374223566415,0.019977562730371535,0.00406349317407142,0.8699798451691481,13467.841090624832,13518.972511711903
4,3,5,1,0.35017802567513256,150.5830697895211,0.12262464966573369,0.0376025732422525,0.007048935779271314,-0.15151802672946824,14094.733898647148,14145.86531973422
4,3,5,2,0.02667646047721765,0.8738859915316579,0.0007116335435925562,0.012895227397259979,0.0022810691126107304,0.9933173398977613,14096.7413812675,14152.985944463278
4,4,5,0,0.321694378879048,127.08237173811831,0.10348727340237668,0.030113353872047697,0.006061356898415099,0.39111526786214246,13733.089073355444,13784.220494442516
4,4,5,1,0.14714555514172786,26.588428080703817,0.02165181439796725,0.016985623420194874,0.0032953179353810667,0.8726079180891616,13733.09372366373,13784.2251447508
4,4,5,2,0.12858842533454265,20.30495928366118,0.016534983130017243,0.015036324070282612,0.002978364472199833,0.9350319798698689,13467.860031284072,13518.991452371143
4,5,5,0,0.26678478321812266,87.40182004367756,0.07117412055674047,0.027563654077057017,0.005159574290661347,0.3316328888105641,14094.734626840693,14145.866047927764
4,5,5,1,0.15992310566350323,31.4065908623737,0.025575399725060035,0.01860813778165645,0.003425412041815364,0.7598318616648558,14094.743308644864,14145.874729731935
4,5,5,2,0.02816203092815716,0.9739267828061339,0.0007930999859984805,0.011758837902775376,0.0021623325674561033,0.9953336631968687,13735.096347345352,13791.34091054113
